sentence,lang,ARG0,ARG1,ARG2,neg,time
is equal to,en-US,0,0,0,0,0
use in a sentence,en-US,1,0,0,0,0
what is the exchange rate between u. s. d. and euro,en-US,0,1,1,0,0
is chase doing good,en-US,0,1,0,1,0
tell me distance between sun and moon,en-US,1,1,1,0,0
what are the coordinates of everest,en-US,0,1,1,0,0
need geographic information about italy,en-US,0,1,0,0,0
what's the stock of apple,en-US,0,0,0,0,0
tell me when martin luther king junior was born,en-US,1,1,1,0,1
stock price for google,en-US,0,1,1,0,0
director who direct an act,en-US,1,1,0,0,0
what is coral made of,en-US,0,1,1,0,0
tell me about it,en-US,1,1,1,0,0
find route,en-US,1,1,0,0,0
what is the current status of resolving general relativity with quantum physics,en-US,0,1,1,0,1
find area,en-US,1,1,0,0,0
what's the capital of tanzania,en-US,1,1,1,0,0
which country would end up converting the most money out of a thousand dollars us,en-US,0,1,1,0,0
what did the south n. p. close out at,en-US,0,1,1,0,0
where maradona lives now,en-US,1,0,0,0,0
current exchange rates for u. k. pound,en-US,0,1,1,0,1
what's the change in best buy stick,en-US,0,1,0,0,0
what was the last movie will smith was in,en-US,0,1,1,0,0
is keith richards dead,en-US,0,1,0,1,0
what is the length of amazon river,en-US,0,1,1,0,0
who is rihanna dating right now,en-US,1,1,0,0,1
what are the measurements of a rubix cube,en-US,0,1,0,0,0
what is the square root of nine,en-US,0,1,1,0,0
what is the prevailing exchange rate us versus indian rupees,en-US,0,1,1,0,0
what is the exchange rate between money i'm the united states and switzerland,en-US,0,1,1,0,0
what's the crime rate in chicago,en-US,0,1,1,0,0
what is the price of amd on the stock market,en-US,0,1,1,0,0
what is famous in indranagar,en-US,0,1,0,0,0
what is a by,en-US,0,0,0,0,0
what is motorola going for today,en-US,0,1,0,0,1
how much is us dollar against rupee,en-US,0,1,1,0,0
how many bones does a human body have,en-US,0,1,1,0,0
current price of google please,en-US,0,1,1,0,1
what's the currency exchange rate for china,en-US,0,1,1,0,0
tell me about jaipur,en-US,1,1,1,0,0
list albums of rihana,en-US,1,1,0,0,0
tell me what the geography is like in this region,en-US,1,1,1,0,0
what's the scenery like in morocco,en-US,0,1,1,0,0
what's new with the stock market,en-US,0,1,1,0,0
when was madonna born,en-US,0,1,0,0,1
please give height of lindsey lohan,en-US,0,1,0,0,0
how old is christie brinkley,en-US,0,0,0,0,0
notify me when g. b. p. to u. s. d. rate as i expected,en-US,1,1,1,0,1
what time zone is in cuba,en-US,0,1,1,0,0
two by two is,en-US,0,1,1,0,0
what would be the exchange rate of currency in japan,en-US,0,1,1,0,0
what is the longest river in the world,en-US,0,1,1,0,0
how much money did will ferrel make for his last movie,en-US,1,1,1,0,0
olly where do the rocky mountains start,en-US,0,1,0,0,0
how far away is the sun,en-US,0,1,0,0,0
please tell me what is the formula for the perimeter of a rectangle,en-US,1,1,1,0,0
google,en-US,0,0,0,0,0
convert five s. d. to rials,en-US,1,1,1,0,0
what is the distance to the grand canyon,en-US,0,1,0,0,0
show me the answer for this problem two hundred and forty six plus six hundred and fifty four,en-US,0,1,1,0,0
how old is jim carrey,en-US,0,0,0,0,0
how tall is channin tatum,en-US,0,1,1,0,0
what's going to be the forecast tomorrow for outer nowhereville,en-US,0,1,0,0,1
what is the difference in value of a dollar and a peso,en-US,0,1,1,0,0
what is leonardo dicaprio's networth,en-US,0,1,1,0,0
can you tell me the exchange rate for canadian currency,en-US,1,1,1,0,0
please summarize the latest george r. r. martin ice and fire book,en-US,1,1,0,0,0
olly compare the stock prices for nintendo and sony and tell me which ones are better,en-US,1,1,1,0,0
tell me about michael jackson,en-US,1,1,1,0,0
what is the answer to ten,en-US,0,1,1,0,0
stock price f. flat,en-US,0,1,1,0,0
how much did facebook stock increase last night,en-US,0,1,1,0,1
when is madonna's birthday,en-US,0,1,0,0,1
solve the calculation,en-US,1,1,0,0,0
give me everything you know about bob dean,en-US,1,1,1,0,0
what is a geographic fact in this region,en-US,0,0,0,0,0
how old is tony bennett,en-US,0,0,0,0,0
detail for stock price,en-US,0,1,1,0,0
let me know up and down in stock price of this company stock,en-US,1,1,1,0,0
what's the exchange between u. s. d. and cad,en-US,0,1,1,0,0
when was einstein's birthday,en-US,0,1,0,0,1
please define this,en-US,0,1,1,0,0
get info,en-US,0,0,1,0,0
please look up exchange between us and mexco,en-US,1,1,0,0,0
where can i find japan,en-US,1,1,0,0,0
show exchange rate of u. s. d. versus euro,en-US,1,1,1,0,0
what kind of cloth eastern people wear,en-US,1,1,0,0,0
when's mark lanegan's next album out,en-US,0,1,1,0,0
what is the exchange rate with in one british pound,en-US,0,1,1,0,0
did prince have children,en-US,1,1,1,0,0
i need some details about bruce lee please assist,en-US,1,1,1,0,0
what is the gross domestic product of us,en-US,1,1,0,0,0
show me the demographic growth rate of switzerland in the last ten years,en-US,1,1,1,0,1
download certain vocab,en-US,1,1,0,0,0
who is the president of america,en-US,1,1,1,0,0
open stocks,en-US,1,1,0,0,0
list stock price for this company stock,en-US,1,1,1,0,0
what is the size of the united states,en-US,0,1,1,0,0
i will be at pizza hut in ten minutes and will stay there for next forty minutes arrange an uber for me that can drop me home,en-US,1,1,1,0,1
use this word in a sentence,en-US,1,1,1,0,0
when is elvis birthday,en-US,0,1,0,0,1
help me in knowing the background of person morgan freeman,en-US,1,1,1,0,0
what is i. b. m.'s stock worth,en-US,0,1,1,0,0
what is the geographical significance of india,en-US,1,1,0,0,0
is a peso worth more than a dollar,en-US,0,1,1,1,0
what is taylor swift's birthday,en-US,0,1,0,0,1
person by birthday,en-US,1,1,0,0,1
olly what is the exchange rate between the us dollar and the aus dollar,en-US,0,1,1,0,0
is black sea real,en-US,0,1,0,1,0
tell me which politician is being investigated,en-US,1,1,1,0,0
what states border new hampshire,en-US,0,1,1,0,0
west,en-US,0,0,0,0,0
where is justin beiber from,en-US,0,1,1,0,0
where is the statue of liberty,en-US,0,1,1,0,0
when was trump born,en-US,0,1,0,0,1
how many bots are in a dollar,en-US,0,1,1,0,0
where is place,en-US,0,1,1,0,0
what is the boiling point of water,en-US,0,1,0,0,0
how many people live in los angeles,en-US,1,0,0,0,0
what is the largest active volcano on earth,en-US,1,1,1,0,0
current forex rates,en-US,1,0,1,0,1
when is the next lakers game,en-US,0,1,1,0,0
is the pound up or down against the dollar,en-US,0,1,1,0,0
please find today's stock prices for samsung company,en-US,1,1,1,0,1
when was the us got freedom,en-US,0,1,0,0,1
calculate the resistance of this resistor,en-US,1,1,0,0,0
what is hair made up of,en-US,1,1,0,0,0
alexa give me everything you know about bob dean,en-US,1,1,1,0,0
